"date","ozone","temp","pressure","month","weekday"
2021-12-10,0.022,66,996,12,6
2021-12-11,0.032,65,1006.5,12,7
2021-12-12,0.033,48,1010.4,12,1
2021-12-13,0.03,53,1011.1,12,2
2021-12-14,0.023,55,1012.1,12,3
2021-12-15,0.033,63,1005.9,12,4
2021-12-16,0.024,61,1007.1,12,5
2021-12-17,0.019,38,1008.5,12,6
2021-12-18,0.018,42,1009.1,12,7
2021-12-19,0.027,38,1012.6,12,1
2021-12-20,0.024,40,1010.2,12,2
2021-12-21,0.024,45,1004,12,3
2021-12-22,0.027,34,1005.7,12,4
2021-12-23,0.032,51,1003.5,12,5
2021-12-24,0.031,64,995.7,12,6
2021-12-25,0.02,65,998.7,12,7
2021-12-26,0.022,53,1003.1,12,1
2021-12-27,0.019,66,997.3,12,2
2021-12-28,0.021,42,997.1,12,3
2021-12-29,0.017,42,997.5,12,4
2021-12-30,0.022,48,997,12,5
2021-12-31,0.023,62,994.7,12,6
